id,document,metadata
18_0,"SEMINAR REPORT
On
Object Detection and Scene Understanding: Advance techniques for
real-time video analysis
By
Atharv Kanase (TECOMP-B38)
Under the guidance of
Mrs. Avani Ray
Department of Computer Engineering
Pimpri Chinchwad College of Engineering and Research, Ravet
An Autonomous Institute — NBA Accredited (4 UG Programs) —
NAAC A++ Accredited — An ISO 21001:2018 Certified
SA VITRIBAI PHULE PUNE UNIVERSITY
(2025 - 2026)
Department of Computer Engineering
Pimpri Chinchwad College of Engineering and Research, Ravet
CERTIFICATE
This is to certify thatAtharv KanasefromThird Year Engineeringhas successfully com-
pleted her seminar work titled“Object Detection and Scene Understanding: Advance
techniques for real-time video analysis”at Pimpri Chinchwad College of Engineering
and Research, Rave","{""file"": ""D:\\qwerty\\Backend\\uploads/1759057594685-report (4).pdf"", ""user_id"": 1, ""policy_id"": 18, ""chunk"": 0}"
18_1,"echniques for real-time video analysis”at Pimpri Chinchwad College of Engineering
and Research, Ravet in the partial fulfillment of the Bachelors Degree in Engineering.
Mrs. Avani Ray
Seminar Guide
Dr. Vijay A Kotkar
HOD, Computer Department
Prof. Dr. H.U. Tiwari
Director, PCCOE&R, Ravet
ACKNOWLEDGEMENT
It gives me pleasure to present a Seminar on “Object Detection and Scene Understand-
ing: Advance techniques for real-time video analysis”. I am very much obliged to my guide
Mrs. Avani Ray, Department of Computer Engineering, for helping me and giving proper
guidance. I am very thankful to the Head of the DepartmentDr. Vijay A Kotkarand the
entire staff members for their cooperation. I am also thankful to my family and friends for
their support and constant encouragement towards the fulfil","{""chunk"": 1, ""user_id"": 1, ""policy_id"": 18, ""file"": ""D:\\qwerty\\Backend\\uploads/1759057594685-report (4).pdf""}"
18_2,"so thankful to my family and friends for
their support and constant encouragement towards the fulfilment of the work.
Place: Ravet, Pune
Date:
Atharv Kanase
TECOMP-B38
ABSTRACT
This seminar explores advanced techniques for real-time object detection and scene un-
derstanding, fundamental tasks in computer vision that enable machines to recognize, lo-
calize, and interpret multiple objects within video streams. With the rapid evolution of deep
learning methods such as Convolutional Neural Networks (CNNs) and Vision Transformers
(ViTs), real-time video analysis has become increasingly accurate and efficient, supporting
critical applications like autonomous vehicles, intelligent surveillance, healthcare monitor-
ing, and smart city systems. The seminar examines key challenges—including occlus","{""chunk"": 2, ""policy_id"": 18, ""file"": ""D:\\qwerty\\Backend\\uploads/1759057594685-report (4).pdf"", ""user_id"": 1}"
18_3,"ealthcare monitor-
ing, and smart city systems. The seminar examines key challenges—including occlusion,
variable lighting, motion blur, and computational constraints on edge devices—and evalu-
ates state-of-the-art architectures for their speed, accuracy, and adaptability. It also high-
lights emerging trends such as explainable AI, zero-shot learning, and multimodal sensor
fusion, emphasizing their potential to enhance the efficiency, robustness, and scalability of
real-time video analytics solutions.
Keywords:Object Detection, Scene Understanding, Real-time Video Analysis, Com-
puter Vision, Convolutional Neural Networks (CNNs), Vision Transformers (ViTs)
TABLE OF CONTENTS
Chapter 1: Introduction . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .","{""user_id"": 1, ""policy_id"": 18, ""chunk"": 3, ""file"": ""D:\\qwerty\\Backend\\uploads/1759057594685-report (4).pdf""}"
18_4,"oduction . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 1
1.1 Introduction . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .1
Chapter 2: Literature Survey . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 4
Chapter 3: Existing System . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 13
Chapter 4: Proposed System . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 14
4.1 Problem Statement . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 14
4.2 Objectives . ","{""chunk"": 4, ""user_id"": 1, ""policy_id"": 18, ""file"": ""D:\\qwerty\\Backend\\uploads/1759057594685-report (4).pdf""}"
18_5,". . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 14
4.2 Objectives . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 14
4.3 Proposed System . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 14
Chapter 5: Conclusion . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 16
5.1 Conclusion . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 16
5.2 Future Scope . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .16
References . . . . . . . . . . . . . . . .","{""chunk"": 5, ""file"": ""D:\\qwerty\\Backend\\uploads/1759057594685-report (4).pdf"", ""user_id"": 1, ""policy_id"": 18}"
18_6,". . . . . . . . . . . . . . . . . . . . . . . . . . . .16
References . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .17
i
LIST OF FIGURES
Figure No Title Page No
1.1 Architecture of Existing Systems 7
2.1 Flowchart of Proposed System 9
ii
LIST OF TABLES
Table No Title Page No
2.1 Literature Survey Table 4
iii
Object Detection and Scene Understanding: Techniques for real-time video analysis 1
1. INTRODUCTION
1.1 Introduction
The rapid growth of surveillance systems, autonomous vehicles, and smart city applications
has fueled the need for efficient real-time video analysis. At the core of this challenge lies
object detection and scene understanding, two interdependent tasks that enable systems to
identify, loc","{""file"": ""D:\\qwerty\\Backend\\uploads/1759057594685-report (4).pdf"", ""chunk"": 6, ""policy_id"": 18, ""user_id"": 1}"
18_7,"ect detection and scene understanding, two interdependent tasks that enable systems to
identify, localize, and interpret objects and their interactions within dynamic environments.
Traditional computer vision approaches, while effective for constrained scenarios, fail to
generalize in complex, real-world conditions where factors such as occlusion, illumination
changes, and fast-moving objects degrade performance. The advent of deep learning, par-
ticularly convolutional neural networks (CNNs) and transformers, has revolutionized this
domain, providing significant improvements in accuracy, scalability, and adaptability.
Despite these advancements, achieving robust real-time performance remains challeng-
ing due to computational complexity, the need for temporal reasoning across frames, and
","{""user_id"": 1, ""policy_id"": 18, ""chunk"": 7, ""file"": ""D:\\qwerty\\Backend\\uploads/1759057594685-report (4).pdf""}"
18_8,"s challeng-
ing due to computational complexity, the need for temporal reasoning across frames, and
the requirement to balance accuracy with latency. Modern approaches integrate object de-
tection models like YOLOv8 with scene reasoning modules and temporal analysis frame-
works to provide richer insights into video streams. Such hybrid systems not only detect
objects but also capture contextual relationships and temporal dynamics, enabling applica-
tions ranging from intelligent surveillance and traffic monitoring to robotics and augmented
reality. This report explores existing solutions, identifies their limitations, and proposes an
integrated architecture for enhancing both the efficiency and reliability of real-time video
analysis.
Department of Computer Engineering PCCOER
Object Detec","{""user_id"": 1, ""policy_id"": 18, ""file"": ""D:\\qwerty\\Backend\\uploads/1759057594685-report (4).pdf"", ""chunk"": 8}"
18_9," and reliability of real-time video
analysis.
Department of Computer Engineering PCCOER
Object Detection and Scene Understanding: Techniques for real-time video analysis 2
2. LITERATURE SURVEY
Divya Nimma, Omaia Al-Omari, Rahul Pradhan, Zoirov Ulmas, RVV Krishna, Ts
Yousef A Baker El-Ebiary, and Vuda Sreenivasa Rao
Object detection in real-time video surveillance using attention based transformer-
YOLOv8 model [2025]
The study presents an enhanced YOLOv8 model incorporating attention-based transformers
for object detection in real-time surveillance. The approach improves accuracy, robustness,
and adaptability under varying lighting and occlusion conditions.(1)
Sani Abba, Ali Mohammed Bizi, Jeong-A Lee, Souley Bakouri, and Maria Liz Crespo
Real-time object detection, tracking, and monitorin","{""policy_id"": 18, ""chunk"": 9, ""user_id"": 1, ""file"": ""D:\\qwerty\\Backend\\uploads/1759057594685-report (4).pdf""}"
